Unnamed: 0,fecha,estacion,Nombre,lluvia,tmin,tseca,tmax,eva_tan,eva_piche,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,tsuelo_5,tsuelo_50,tsuelo_100,rad_solar,Longitud,Latitud,Altitud
0,01/05/2023,INS-140301,CHINIQUE,0.0,,,,,,,,6.0,1.3,0.0,,,,,,,,
1,01/05/2023,INS010101CV,INSIVUMEH,0.0,18.0,22.3,29.0,0.4,2.2,63.0,8.6,5.0,6.7,360.0,638.2,,,25.0,,-90.532679,14.587267,1502.0
2,01/05/2023,INS010102CV,LA_AURORA,0.0,17.4,23.3,29.6,,,70.0,,7.0,17.6,165.0,638.3,,,,,-90.52773,14.58619,1491.0
3,01/05/2023,INS010301AT,SAN_JOSE_PINULA,0.0,,,,,,,,6.0,15.3,360.0,,,,,,-90.39191,14.52392,1744.0
4,01/05/2023,INS010701AT,SAN_PEDRO_AYAMPUC,0.0,,,,,,,,7.0,2.0,9.0,,,,,,-90.4500096,14.7834166,1269.0
5,01/05/2023,INS010801AT,LO_DE_COY,0.0,,,,,,,,5.0,9.0,270.0,,,,,,-90.59922,14.62109,1686.0
6,01/05/2023,INS011401AT,AMATITLAN,0.0,,,,2.1,,,,4.0,11.7,360.0,,,,,,-90.63039,14.46785,1205.0
7,01/05/2023,INS020301CV,LOS_ALBORES,0.0,15.0,23.7,31.0,,,,,4.0,0.7,0.0,,,,,,-89.949167,15.0525,1391.0
8,01/05/2023,INS020302CV,SAN_AGUSTIN_ACASAGUASTLAN,0.0,22.3,30.9,38.5,,,,,1.0,6.7,360.0,,,,,,-89.9738746,14.9502817,371.0
9,01/05/2023,INS030101AT,ANTIGUA_GUATEMALA,0.0,,,,,,,,8.0,24.7,45.0,,,,,,-90.7383,14.53974,1539.0
10,01/05/2023,INS030801CV,SUIZA_CONTENTA,0.0,9.2,18.3,23.6,,,75.0,,5.0,1.1,9.0,,,,,,-90.659128,14.618572,2105.0
11,01/05/2023,INS040101CV,ALAMEDA_ICTA,0.0,12.6,21.6,27.4,5.1,,84.0,8.4,4.0,3.0,90.0,,,,,,-90.803967,14.637936,1750.0
12,01/05/2023,INS040301CV,SAN_MARTIN_JILOTEPEQUE,0.0,11.0,21.1,29.2,,4.0,,,4.0,2.7,270.0,,,,,,-90.792558,14.777474,1800.0
13,01/05/2023,INS040801AT,SANTA_MARGARITA,0.0,,,,,,,,4.0,8.0,90.0,,,,,,-91.01144,14.50575,1137.0
14,01/05/2023,INS041001CV,SANTA_CRUZ_BALANYA,0.0,10.0,18.8,26.2,,,92.0,,4.0,6.7,180.0,,,,,,-90.918504,14.683227,2080.0
15,01/05/2023,INS050101AT,CONCEPCION,0.0,,,,,,,,7.0,4.7,9.0,,,,,,-90.78758,14.32352,421.0
16,01/05/2023,INS050101CV,SABANA_GRANDE,0.0,18.0,26.1,32.8,1.5,,77.0,,4.0,2.0,360.0,,,,,,-90.830533,14.373773,730.0
17,01/05/2023,INS060101CV,LOS_ESCLAVOS,0.2,17.8,26.0,33.4,,,80.0,,3.0,6.0,90.0,,,,,,-90.2783,14.2528,737.0
18,01/05/2023,INS070101CV,EL_TABLON,0.0,4.8,15.9,23.8,4.4,,90.0,7.9,4.0,5.3,90.0,,,,19.3,,-91.1819444,14.7902778,2397.0
19,01/05/2023,INS071301CV,EL_CAPITAN,0.0,14.4,20.7,27.0,,,77.0,,4.0,8.0,180.0,,,,,,-91.140524,14.644497,1562.0
20,01/05/2023,INS071901CV,SANTIAGO_ATITLAN,0.0,12.4,20.3,27.6,4.6,,78.0,,4.0,12.3,180.0,,,,,,-91.232526,14.630858,1569.0
21,01/05/2023,INS080101AT,TOTONICAPAN,3.4,,,,3.4,,,,4.0,9.3,90.0,,,,,,-91.36441,14.91082,2478.0
22,01/05/2023,INS090101CV,LOS_ALTOS,2.9,8.0,17.0,25.4,4.4,,70.0,8.9,6.0,4.9,9.0,579.9,,,,,-91.50807279,14.8599015,2389.0
23,01/05/2023,INS090301CV,LABOR_OVALLE,2.1,7.8,17.3,27.0,0.0,,68.0,9.6,4.0,2.5,0.0,578.9,,,,,-91.514438,14.871334,2380.0
24,01/05/2023,INS100101CV,MAZATENANGO,0.0,22.5,27.3,38.0,,,78.0,,7.0,11.7,315.0,,,,,,-91.5027778,14.5283333,352.0
25,01/05/2023,INS110101CV,RETALHULEU_AREOPUERTO,0.0,22.0,30.9,36.4,,,53.0,,4.0,4.0,225.0,740.2,,,,,-91.69407,14.52486,205.0
26,01/05/2023,INS110701CV,CHAMPERICO_FEGUA,0.0,26.8,31.5,36.2,,,74.0,9.3,2.0,1.3,0.0,754.9,,,,,-91.91426,14.29397,5.0
27,01/05/2023,INS120101CV,SAN_MARCOS_PHC,0.0,10.4,15.1,20.4,3.5,,84.0,7.8,3.0,0.0,0.0,,,,,,-91.82333,14.96715,2420.0
28,01/05/2023,INS121601CV,CATARINA,0.0,22.0,30.3,38.0,,,78.0,,2.0,3.7,90.0,,,,,,-92.074858,14.856361,233.0
29,01/05/2023,INS121701CV,TECUN_UMAN,0.0,23.0,31.5,38.4,5.6,,57.0,8.7,2.0,6.3,45.0,,,,,,-92.128059,14.70195,29.0
30,01/05/2023,INS122101AT,LA_REFORMA,0.0,,,,,,,,5.0,5.7,225.0,,,,,,-91.8167,14.8,1133.0
31,01/05/2023,INS122301AT,IXCHIGUAN,0.0,,,,,,,,5.0,4.7,9.0,,,,,,-91.9395,15.16483,3336.0
